Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1481070030,24360879.200348925,28441461.77918409,4080.583,4.04729e14,1.5375,4.73043e6,-2.34679e6,5.88948e-9
1481070060,24373390.365859043,28459287.203804024,4085.897,3.98418e14,0.0458,4.69403e6,-2.34717e6,5.89044e-9
1481070090,24385972.878845673,28477093.83498272,4091.121,3.89914e14,2.1791,4.64457e6,-2.34749e6,5.89124e-9
1481070120,24398626.317565847,28494881.431306545,4096.255,3.93995e14,1.1554,4.66913e6,-2.34775e6,5.89189e-9
1481070150,24411350.25909828,28512649.752567593,4101.299,3.97050e14,0.3889,4.68754e6,-2.34796e6,5.89240e-9
1481070180,24424144.27937396,28530398.559760317,4106.254,3.97842e14,0.1902,4.69249e6,-2.34810e6,5.89276e-9
1481070210,24437007.9532066,28548127.61507816,4111.120,3.99097e14,0.1245,4.70006e6,-2.34819e6,5.89297e-9
1481070240,24449940.854323022,28565836.681910064,4115.896,4.01940e14,0.8379,4.71687e6,-2.34822e6,5.89304e-9
1481070270,24462942.555393368,28583525.524837073,4120.583,3.99951e14,0.3389,4.70510e6,-2.34820e6,5.89297e-9
1481070300,24476012.628061235,28601193.909628786,4125.181,3.96338e14,0.5675,4.68363e6,-2.34811e6,5.89275e-9
1481070330,24489150.64299869,28618841.60323167,4129.691,3.96100e14,0.6272,4.68195e6,-2.34797e6,5.89239e-9
1481070360,24502356.169858936,28636468.37379093,4134.112,3.96317e14,0.5727,4.68284e6,-2.34777e6,5.89189e-9
1481070390,24515628.777383618,28654073.990621377,4138.445,3.93656e14,1.2404,4.66665e6,-2.34752e6,5.89125e-9
1481070420,24528968.033407506,28671658.22421201,4142.690,3.95071e14,0.8855,4.67437e6,-2.34721e6,5.89048e-9
1481070450,24542373.504888147,28689220.84622244,4146.847,4.01445e14,0.7136,4.71118e6,-2.34685e6,5.88956e-9
1481070480,24555844.757935394,28706761.629479174,4150.917,3.99450e14,0.2131,4.69859e6,-2.34643e6,5.88850e-9
1481070510,24569381.357840773,28724280.34797185,4154.899,3.96319e14,0.5724,4.67922e6,-2.34596e6,5.88731e-9
1481070540,24582982.86910665,28741776.776849642,4158.794,3.95630e14,0.7452,4.67411e6,-2.34544e6,5.88599e-9
1481070570,24596648.855475307,28759250.69241743,4162.602,3.78135e14,5.1344,4.57000e6,-2.34486e6,5.88452e-9
1481070600,24610378.87995777,28776701.872132096,4166.323,3.79660e14,4.7516,4.57774e6,-2.34422e6,5.88293e-9
1481070630,24624172.50483026,28794130.094610102,4169.958,3.99991e14,0.3489,4.69597e6,-2.34354e6,5.88120e-9
1481070660,24638029.291762155,28811535.139588762,4173.506,4.01858e14,0.8171,4.70546e6,-2.34280e6,5.87934e-9
1481070690,24651948.80174446,28828916.787957605,4176.968,4.00104e14,0.3771,4.69356e6,-2.34201e6,5.87735e-9
1481070720,24665930.595150005,28846274.82174325,4180.344,4.00365e14,0.4428,4.69340e6,-2.34117e6,5.87523e-9
1481070750,24679974.23176114,28863609.024105735,4183.635,3.99979e14,0.3459,4.68934e6,-2.34027e6,5.87298e-9
1481070780,24694079.27079726,28880919.179334767,4186.840,3.95365e14,0.8117,4.66036e6,-2.33933e6,5.87060e-9
1481070810,24708245.270942148,28898205.072846048,4189.960,3.95732e14,0.7196,4.66053e6,-2.33833e6,5.86809e-9
1481070840,24722471.79037109,28915466.491177443,4192.995,4.00127e14,0.3829,4.68422e6,-2.33729e6,5.86546e-9
1481070870,24736758.38677782,28932703.221985284,4195.945,3.99924e14,0.3321,4.68083e6,-2.33619e6,5.86270e-9
1481070900,24751104.61740136,28949915.05404055,4198.810,3.94898e14,0.9290,4.64907e6,-2.33505e6,5.85982e-9
1481070930,24765510.03908276,28967101.777210686,4201.592,3.94883e14,0.9325,4.64661e6,-2.33385e6,5.85682e-9
1481070960,24779974.208198413,28984263.18250019,4204.289,3.95512e14,0.7749,4.64781e6,-2.33261e6,5.85369e-9
1481070990,24794496.680779815,29001399.062002264,4206.902,3.96793e14,0.4533,4.65273e6,-2.33132e6,5.85044e-9
1481071020,24809077.012509536,29018509.20890925,4209.432,4.00285e14,0.4226,4.67047e6,-2.32997e6,5.84706e-9
1481071050,24823714.75874735,29035593.417508665,4211.879,4.02160e14,0.8931,4.67864e6,-2.32859e6,5.84357e-9
1481071080,24838409.47455617,29052651.48317923,4214.242,4.01496e14,0.7265,4.67187e6,-2.32715e6,5.83996e-9
1481071110,24853160.71472776,29069683.202386856,4216.522,4.01514e14,0.7310,4.66900e6,-2.32567e6,5.83623e-9
1481071140,24867968.033808265,29086688.37268072,4218.720,3.97811e14,0.1982,4.64432e6,-2.32414e6,5.83238e-9
1481071170,24882830.986123573,29103666.792689167,4220.836,4.01249e14,0.6644,4.66121e6,-2.32256e6,5.82842e-9
1481071200,24897749.12580437,29120618.262115754,4222.869,4.08823e14,2.5646,4.70207e6,-2.32094e6,5.82434e-9
1481071230,24912722.00678809,29137542.58175248,4224.821,3.98472e14,0.0322,4.63844e6,-2.31927e6,5.82015e-9
1481071260,24927749.182914633,29154439.55342265,4226.690,3.95784e14,0.7067,4.61938e6,-2.31756e6,5.81584e-9
1481071290,24942830.207879562,29171308.980030116,4228.479,4.00071e14,0.3689,4.64079e6,-2.31580e6,5.81142e-9
1481071320,24957964.63528129,29188150.665538162,4230.186,4.03663e14,1.2701,4.65803e6,-2.31400e6,5.80689e-9
1481071350,24973152.018644914,29204964.41496564,4231.812,4.01866e14,0.8193,4.64388e6,-2.31216e6,5.80225e-9
1481071380,24988391.911445912,29221750.034383044,4233.358,3.99448e14,0.2127,4.62607e6,-2.31027e6,5.79750e-9
1481071410,25003683.8671336,29238507.330908686,4234.823,3.97117e14,0.3722,4.60868e6,-2.30833e6,5.79263e-9
1481071440,25019027.43915431,29255236.11270477,4236.209,3.88410e14,2.5567,4.55434e6,-2.30635e6,5.78766e-9
1481071470,25034422.180974435,29271936.188973475,4237.514,3.97030e14,0.3940,4.60019e6,-2.30433e6,5.78259e-9
1481071500,25049867.646103162,29288607.369953036,4238.740,3.98748e14,0.0370,4.60600e6,-2.30227e6,5.77740e-9
1481071530,25065363.38813346,29305249.466891885,4239.886,3.95076e14,0.8842,4.58059e6,-2.30017e6,5.77211e-9
1481071560,25080908.960708,29321862.29211252,4240.953,4.01258e14,0.6667,4.61196e6,-2.29802e6,5.76672e-9
1481071590,25096503.917597774,29338445.658939563,4241.942,4.00962e14,0.5924,4.60586e6,-2.29583e6,5.76122e-9
1481071620,25112147.81270602,29354999.38171764,4242.852,3.97438e14,0.2917,4.58111e6,-2.29361e6,5.75562e-9
1481071650,25127840.200089958,29371523.27580734,4243.683,4.02892e14,1.0768,4.60793e6,-2.29134e6,5.74991e-9
1481071680,25143580.633982547,29388017.15758098,4244.437,4.06824e14,2.0631,4.62587e6,-2.28903e6,5.74411e-9
1481071710,25159368.668813873,29404480.844418615,4245.112,3.98482e14,0.0297,4.57325e6,-2.28668e6,5.73820e-9
1481071740,25175203.85923238,29420914.15470384,4245.710,3.90042e14,2.1472,4.52009e6,-2.28429e6,5.73220e-9
1481071770,25191085.760125875,29437316.90781976,4246.231,3.99528e14,0.2328,4.56960e6,-2.28186e6,5.72609e-9
1481071800,25207013.9266423,29453688.92414481,4246.675,4.05192e14,1.6536,4.59705e6,-2.27939e6,5.71989e-9
1481071830,25222987.914192077,29470030.025077976,4247.042,3.92736e14,1.4713,4.52082e6,-2.27689e6,5.71360e-9
1481071860,25239007.2785244,29486340.032944605,4247.333,3.95160e14,0.8631,4.52960e6,-2.27434e6,5.70720e-9
1481071890,25255071.575691346,29502618.77108266,4247.547,4.01045e14,0.6133,4.55800e6,-2.27176e6,5.70071e-9
1481071920,25271180.362085715,29518866.063809656,4247.686,3.99119e14,0.1302,4.54178e6,-2.26914e6,5.69413e-9
1481071950,25287333.19446048,29535081.73641887,4247.749,3.96782e14,0.4563,4.52316e6,-2.26649e6,5.68745e-9
1481071980,25303529.629948072,29551265.615175508,4247.736,4.00738e14,0.5362,4.54025e6,-2.26379e6,5.68068e-9
1481072010,25319769.226079475,29567417.527312957,4247.648,3.94341e14,1.0685,4.49848e6,-2.26106e6,5.67382e-9
1481072040,25336051.540802985,29583537.30102887,4247.486,3.89441e14,2.2980,4.46520e6,-2.25829e6,5.66687e-9
1481072070,25352376.132502835,29599624.765481487,4247.249,3.96210e14,0.5996,4.49797e6,-2.25549e6,5.65982e-9
1481072100,25368742.560017604,29615679.75078569,4246.937,4.01993e14,0.8510,4.52499e6,-2.25265e6,5.65269e-9
1481072130,25385150.38268064,29631702.087974217,4246.552,4.04491e14,1.4777,4.53332e6,-2.24978e6,5.64547e-9
1481072160,25401599.160269435,29647691.609101873,4246.092,3.97299e14,0.3266,4.48691e6,-2.24687e6,5.63816e-9
1481072190,25418088.453091983,29663648.147133306,4245.560,3.97808e14,0.1989,4.48389e6,-2.24393e6,5.63077e-9
1481072220,25434617.821982283,29679571.535974,4244.954,4.03227e14,1.1608,4.50842e6,-2.24095e6,5.62329e-9
1481072250,25451186.82831786,29695461.61046613,4244.275,3.99308e14,0.1774,4.48034e6,-2.23794e6,5.61572e-9
1481072280,25467795.03403694,29711318.206384346,4243.523,3.93200e14,1.3549,4.43999e6,-2.23490e6,5.60807e-9
1481072310,25484442.0016556,29727141.160431866,4242.699,3.94794e14,0.9548,4.44280e6,-2.23182e6,5.60033e-9
1481072340,25501127.294284526,29742930.31023611,4241.803,3.96016e14,0.6484,4.44343e6,-2.22871e6,5.59252e-9
1481072370,25517850.475645598,29758685.494344734,4240.835,3.97109e14,0.3741,4.44327e6,-2.22556e6,5.58462e-9
1481072400,25534611.110088333,29774406.552221503,4239.795,4.01042e14,0.6126,4.45886e6,-2.22239e6,5.57664e-9
1481072430,25551408.76257731,29790093.324276697,4238.685,4.00425e14,0.4577,4.44898e6,-2.21918e6,5.56858e-9
1481072460,25568242.998796396,29805745.651756614,4237.503,3.98515e14,0.0214,4.43186e6,-2.21594e6,5.56044e-9
1481072490,25585113.38507608,29821363.376846354,4236.250,4.02192e14,0.9011,4.44573e6,-2.21267e6,5.55222e-9
1481072520,25602019.488437302,29836946.342631426,4234.927,4.07547e14,2.2446,4.46878e6,-2.20937e6,5.54392e-9
1481072550,25618960.876606446,29852494.393094063,4233.534,3.96548e14,0.5150,4.40114e6,-2.20603e6,5.53555e-9
1481072580,25635937.118030205,29868007.37310945,4232.070,3.96819e14,0.4470,4.39593e6,-2.20267e6,5.52710e-9
1481072610,25652947.78189023,29883485.128442056,4230.537,4.02755e14,1.0422,4.42191e6,-2.19928e6,5.51858e-9
1481072640,25669992.438117452,29898927.505741946,4228.935,4.03093e14,1.1271,4.41689e6,-2.19586e6,5.50998e-9
1481072670,25687070.65740631,29914334.35254107,4227.264,4.00201e14,0.4015,4.39403e6,-2.19240e6,5.50130e-9
1481072700,25704182.01122879,29929705.517249588,4225.524,3.91962e14,1.6655,4.34179e6,-2.18892e6,5.49255e-9
1481072730,25721326.071883313,29945040.849124834,4223.715,4.04120e14,1.3848,4.40150e6,-2.18541e6,5.48373e-9
1481072760,25738502.412399955,29960340.198352125,4221.838,3.97836e14,0.1918,4.35996e6,-2.18187e6,5.47484e-9
1481072790,25755710.606662527,29975603.41595626,4219.893,3.94111e14,1.1264,4.33246e6,-2.17830e6,5.46588e-9
1481072820,25772950.229386844,29990830.35382508,4217.880,3.98591e14,0.0023,4.34976e6,-2.17471e6,5.45684e-9
1481072850,25790220.85613406,30006020.86470561,4215.800,3.98259e14,0.0858,4.34069e6,-2.17108e6,5.44774e-9
1481072880,25807522.063323647,30021174.80220018,4213.653,3.99492e14,0.2237,4.34010e6,-2.16743e6,5.43857e-9
1481072910,25824853.428246364,30036292.020762578,4211.439,3.94715e14,0.9748,4.30679e6,-2.16375e6,5.42933e-9
1481072940,25842214.52907684,30051372.37569414,4209.158,3.99150e14,0.1378,4.32345e6,-2.16005e6,5.42002e-9
1481072970,25859604.944886062,30066415.72313989,4206.811,3.99850e14,0.3136,4.31977e6,-2.15632e6,5.41065e-9
1481073000,25877024.255653553,30081421.920084734,4204.398,3.98793e14,0.0484,4.30653e6,-2.15256e6,5.40121e-9
1481073030,25894472.042243708,30096390.8243708,4201.919,3.99744e14,0.2870,4.30408e6,-2.14878e6,5.39171e-9
1481073060,25911947.88652783,30111322.294628084,4199.374,3.97381e14,0.3060,4.28373e6,-2.14497e6,5.38214e-9
1481073090,25929451.371285126,30126216.190336578,4196.765,4.04240e14,1.4149,4.31292e6,-2.14113e6,5.37250e-9
1481073120,25946982.08024961,30141072.371801198,4194.090,4.02446e14,0.9648,4.29551e6,-2.13727e6,5.36281e-9
1481073150,25964539.598121002,30155890.7001482,4191.351,3.92780e14,1.4603,4.23596e6,-2.13339e6,5.35305e-9
1481073180,25982123.510575373,30170671.03732149,4188.548,3.93179e14,1.3602,4.23032e6,-2.12948e6,5.34323e-9
1481073210,25999733.404275663,30185413.246079184,4185.680,4.01729e14,0.7849,4.26811e6,-2.12555e6,5.33335e-9
1481073240,26017368.866881933,30200117.189989768,4182.748,3.94084e14,1.1330,4.21946e6,-2.12159e6,5.32341e-9
1481073270,26035029.4870615,30214782.733428683,4179.753,3.86916e14,2.9315,4.17345e6,-2.11761e6,5.31341e-9
1481073300,26052714.854498748,30229409.741574608,4176.695,3.99384e14,0.1965,4.23167e6,-2.11360e6,5.30335e-9
1481073330,26070424.559931315,30243998.08038233,4173.574,4.06066e14,1.8730,4.25898e6,-2.10957e6,5.29323e-9
1481073360,26088158.195078216,30258547.616652027,4170.389,4.02182e14,0.8985,4.23027e6,-2.10552e6,5.28305e-9
1481073390,26105915.352730833,30273058.21795242,4167.143,3.99436e14,0.2096,4.20760e6,-2.10145e6,5.27282e-9
1481073420,26123695.626735896,30287529.7526407,4163.834,4.06147e14,1.8932,4.23471e6,-2.09735e6,5.26253e-9
1481073450,26141498.612004686,30301962.08985889,4160.463,4.01841e14,0.8130,4.20378e6,-2.09323e6,5.25219e-9
1481073480,26159323.9045221,30316355.09953001,4157.031,3.94915e14,0.9246,4.15916e6,-2.08909e6,5.24179e-9
1481073510,26177171.10135551,30330708.652354483,4153.538,3.91114e14,1.8783,4.13098e6,-2.08493e6,5.23134e-9
1481073540,26195039.800663523,30345022.61980632,4149.983,3.90272e14,2.0894,4.11829e6,-2.08075e6,5.22083e-9
1481073570,26212929.601704452,30359296.874129567,4146.367,3.99820e14,0.3060,4.15972e6,-2.07655e6,5.21027e-9
1481073600,26230840.10484469,30373531.28833459,4142.691,4.02053e14,0.8661,4.16286e6,-2.07232e6,5.19966e-9
1481073630,26248770.911556296,30387725.736226097,4138.955,3.95337e14,0.8188,4.11948e6,-2.06807e6,5.18900e-9
1481073660,26266721.624457825,30401880.092302065,4135.158,4.00471e14,0.4692,4.13756e6,-2.06381e6,5.17828e-9
1481073690,26284691.84728925,30415994.23184806,4131.302,4.02249e14,0.9153,4.13815e6,-2.05952e6,5.16752e-9
1481073720,26302681.184930146,30430068.03090232,4127.387,3.91982e14,1.6603,4.07655e6,-2.05522e6,5.15670e-9
1481073750,26320689.243407167,30444101.36625233,4123.412,3.93220e14,1.3498,4.07434e6,-2.05089e6,5.14584e-9
1481073780,26338715.62990119,30458094.115431726,4119.378,4.07771e14,2.3008,4.14042e6,-2.04655e6,5.13493e-9
1481073810,26356759.952754468,30472046.156716965,4115.286,4.05116e14,1.6347,4.11799e6,-2.04218e6,5.12397e-9
1481073840,26374821.821477436,30485957.369124122,4111.136,3.99978e14,0.3455,4.08287e6,-2.03780e6,5.11296e-9
1481073870,26392900.846755464,30499827.632405654,4106.927,4.03742e14,1.2899,4.09325e6,-2.03340e6,5.10191e-9
1481073900,26410996.640455358,30513656.82704716,4102.660,3.93246e14,1.3433,4.03092e6,-2.02898e6,5.09081e-9
1481073930,26429108.81562846,30527444.834229197,4098.336,3.98268e14,0.0834,4.04760e6,-2.02454e6,5.07966e-9
1481073960,26447236.986527085,30541191.535932034,4093.955,4.03094e14,1.1272,4.06315e6,-2.02008e6,5.06847e-9
1481073990,26465380.76860025,30554896.814823944,4089.516,3.94425e14,1.0475,4.01031e6,-2.01561e6,5.05723e-9
1481074020,26483539.778502893,30568560.55429291,4085.021,3.91949e14,1.6686,3.98888e6,-2.01112e6,5.04595e-9
1481074050,26501713.634101547,30582182.638443034,4080.469,4.00926e14,0.5834,4.02512e6,-2.00661e6,5.03463e-9
1481074080,26519901.954479944,30595762.952091087,4075.861,4.10915e14,3.0895,4.06622e6,-2.00208e6,5.02327e-9
1481074110,26538104.359944418,30609301.380763013,4071.197,4.05513e14,1.7341,4.02991e6,-1.99754e6,5.01186e-9
1481074140,26556320.472029135,30622797.81069042,4066.477,3.93795e14,1.2056,3.96212e6,-1.99298e6,5.00041e-9
1481074170,26574549.913501255,30636252.128807135,4061.702,4.12039e14,3.3715,4.04404e6,-1.98841e6,4.98892e-9
1481074200,26592792.308365833,30649664.22274575,4056.872,4.20705e14,5.5455,4.07783e6,-1.98382e6,4.97739e-9
