Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1504657230,32366245.116725728,29860695.17556833,2505.550,3.92879e14,1.4353,-2.05207e6,1.03355e6,-2.59245e-9
1504657260,32361836.430452906,29844913.973579884,2516.922,4.00843e14,0.5627,-2.08351e6,1.03893e6,-2.60595e-9
1504657290,32357373.46051857,29829097.534562245,2528.276,3.98066e14,0.1340,-2.08703e6,1.04432e6,-2.61946e-9
1504657320,32352856.23177475,29813246.0161641,2539.610,4.01837e14,0.8121,-2.10773e6,1.04970e6,-2.63297e-9
1504657350,32348284.769401267,29797359.576947365,2550.925,4.01936e14,0.8367,-2.11881e6,1.05509e6,-2.64648e-9
1504657380,32343659.098906696,29781438.37639095,2562.221,4.04151e14,1.3926,-2.13553e6,1.06048e6,-2.66000e-9
1504657410,32338979.246129468,29765482.5748946,2573.497,4.01167e14,0.6440,-2.13841e6,1.06588e6,-2.67353e-9
1504657440,32334245.237238936,29749492.33378268,2584.753,4.01836e14,0.8116,-2.15103e6,1.07127e6,-2.68706e-9
1504657470,32329457.09873649,29733467.815307964,2595.989,4.03204e14,1.1549,-2.16556e6,1.07667e6,-2.70059e-9
1504657500,32324614.857456643,29717409.18265547,2607.206,3.98084e14,0.1297,-2.16252e6,1.08207e6,-2.71413e-9
1504657530,32319718.540549304,29701316.599986617,2618.402,4.01667e14,0.7694,-2.18309e6,1.08747e6,-2.72768e-9
1504657560,32314768.175539225,29685190.232318647,2629.578,4.05424e14,1.7120,-2.20423e6,1.09287e6,-2.74123e-9
1504657590,32309763.790268652,29669030.24565331,2640.734,4.03022e14,1.1092,-2.20851e6,1.09828e6,-2.75478e-9
1504657620,32304705.41291719,29652836.80694055,2651.869,4.00053e14,0.3644,-2.21117e6,1.10368e6,-2.76834e-9
1504657650,32299593.07200285,29636610.08408285,2662.983,3.98884e14,0.0712,-2.21875e6,1.10909e6,-2.78191e-9
1504657680,32294426.79638302,29620350.24593938,2674.077,3.97464e14,0.2850,-2.22561e6,1.11450e6,-2.79548e-9
1504657710,32289206.61525547,29604057.462330315,2685.149,3.97898e14,0.1762,-2.23763e6,1.11992e6,-2.80905e-9
1504657740,32283932.55815932,29587731.904041074,2696.201,3.99893e14,0.3242,-2.25408e6,1.12533e6,-2.82263e-9
1504657770,32278604.654976003,29571373.742826562,2707.231,4.00389e14,0.4488,-2.26634e6,1.13075e6,-2.83621e-9
1504657800,32273222.935930233,29554983.151415493,2718.240,4.03589e14,1.2515,-2.28631e6,1.13617e6,-2.84980e-9
1504657830,32267787.43158206,29538560.303487502,2729.227,4.06978e14,2.1016,-2.30692e6,1.14159e6,-2.86339e-9
1504657860,32262298.17285538,29522105.373761132,2740.193,3.96432e14,0.5439,-2.28754e6,1.14701e6,-2.87699e-9
1504657890,32256755.19101134,29505618.537914146,2751.137,3.93982e14,1.1586,-2.29127e6,1.15243e6,-2.89059e-9
1504657920,32251158.517658144,29489099.972614855,2762.059,3.98317e14,0.0710,-2.31465e6,1.15786e6,-2.90420e-9
1504657950,32245508.184752036,29472549.85552604,2772.958,3.92976e14,1.4111,-2.30991e6,1.16328e6,-2.91781e-9
1504657980,32239804.22459818,29455968.36530911,2783.836,3.98282e14,0.0799,-2.33624e6,1.16871e6,-2.93142e-9
1504658010,32234046.66985166,29439355.68162812,2794.691,4.05604e14,1.7570,-2.36866e6,1.17414e6,-2.94504e-9
1504658040,32228235.553518463,29422711.985153813,2805.524,3.96738e14,0.4672,-2.35338e6,1.17957e6,-2.95866e-9
1504658070,32222370.90895648,29406037.457567662,2816.333,3.99283e14,0.1712,-2.37179e6,1.18500e6,-2.97228e-9
1504658100,32216452.769876517,29389332.28156589,2827.120,4.07438e14,2.2172,-2.40701e6,1.19044e6,-2.98591e-9
1504658130,32210481.17037069,29372596.64088027,2837.885,4.02001e14,0.8532,-2.40170e6,1.19587e6,-2.99954e-9
1504658160,32204456.144829374,29355830.72023061,2848.625,4.00973e14,0.5953,-2.40952e6,1.20131e6,-3.01318e-9
1504658190,32198377.72802662,29339034.705380548,2859.343,3.94600e14,1.0037,-2.40113e6,1.20675e6,-3.02682e-9
1504658220,32192245.955094244,29322208.78312501,2870.037,3.99117e14,0.1296,-2.42569e6,1.21219e6,-3.04046e-9
1504658250,32186060.86152318,29305353.141294327,2880.708,4.13594e14,3.7616,-2.48079e6,1.21763e6,-3.05411e-9
1504658280,32179822.483164888,29288467.968758475,2891.355,4.01825e14,0.8089,-2.45578e6,1.22307e6,-3.06776e-9
1504658310,32173530.856232807,29271553.455431253,2901.977,3.98336e14,0.0663,-2.45596e6,1.22852e6,-3.08141e-9
1504658340,32167186.0173037,29254609.792274438,2912.576,4.01015e14,0.6058,-2.47513e6,1.23396e6,-3.09507e-9
1504658370,32160788.003319167,29237637.171301994,2923.151,3.92289e14,1.5834,-2.45893e6,1.23941e6,-3.10872e-9
1504658400,32154336.85158702,29220635.785584275,2933.701,4.02700e14,1.0284,-2.50224e6,1.24486e6,-3.12239e-9
1504658430,32147832.599753074,29203605.82924065,2944.227,4.03237e14,1.1632,-2.51488e6,1.25031e6,-3.13605e-9
1504658460,32141275.285894178,29186547.497479368,2954.728,3.97896e14,0.1767,-2.50902e6,1.25576e6,-3.14972e-9
1504658490,32134664.948427808,29169460.98656572,2965.204,4.05618e14,1.7607,-2.54434e6,1.26121e6,-3.16339e-9
1504658520,32128001.626143016,29152346.493837904,2975.655,3.97159e14,0.3615,-2.52846e6,1.26666e6,-3.17706e-9
1504658550,32121285.35820166,29135204.217710976,2986.081,3.92448e14,1.5434,-2.52431e6,1.27211e6,-3.19073e-9
1504658580,32114516.18413959,29118034.357681043,2996.482,4.05303e14,1.6814,-2.57632e6,1.27757e6,-3.20441e-9
1504658610,32107694.143867966,29100837.114329293,3006.857,4.01258e14,0.6668,-2.57430e6,1.28302e6,-3.21809e-9
1504658640,32100819.277674373,29083612.689326108,3017.207,3.96085e14,0.6311,-2.56853e6,1.28847e6,-3.23177e-9
1504658670,32093891.626224186,29066361.28543509,3027.530,3.98095e14,0.1269,-2.58593e6,1.29393e6,-3.24545e-9
1504658700,32086911.23056171,29049083.10651722,3037.828,3.89071e14,2.3908,-2.56742e6,1.29939e6,-3.25914e-9
1504658730,32079878.132135626,29031778.357545894,3048.100,3.93387e14,1.3080,-2.59233e6,1.30485e6,-3.27283e-9
1504658760,32072792.372725997,29014447.244576853,3058.345,3.98286e14,0.0788,-2.61928e6,1.31030e6,-3.28651e-9
1504658790,32065653.994520042,28997089.974786837,3068.564,3.92519e14,1.5256,-2.61116e6,1.31576e6,-3.30020e-9
1504658820,32058463.04008957,28979706.756466508,3078.756,3.97712e14,0.2229,-2.63920e6,1.32122e6,-3.31389e-9
1504658850,32051219.55239244,28962297.79902452,3088.922,3.98293e14,0.0772,-2.65203e6,1.32668e6,-3.32759e-9
1504658880,32043923.574774165,28944863.31299175,3099.060,3.99577e14,0.2450,-2.66724e6,1.33214e6,-3.34128e-9
1504658910,32036575.150969446,28927403.510025322,3109.172,3.98869e14,0.0673,-2.67580e6,1.33760e6,-3.35497e-9
1504658940,32029174.32510373,28909918.60291285,3119.256,3.95124e14,0.8721,-2.67411e6,1.34306e6,-3.36867e-9
1504658970,32021721.141694795,28892408.805576365,3129.312,3.96658e14,0.4872,-2.69017e6,1.34852e6,-3.38237e-9
1504659000,32014215.645654365,28874874.333076514,3139.341,3.99741e14,0.2862,-2.71153e6,1.35399e6,-3.39606e-9
1504659030,32006657.882269572,28857315.401605293,3149.342,3.94268e14,1.0869,-2.70381e6,1.35945e6,-3.40976e-9
1504659060,31999047.897266585,28839732.2285251,3159.316,3.93958e14,1.1646,-2.71361e6,1.36491e6,-3.42346e-9
1504659090,31991385.736749984,28822125.03233727,3169.261,3.99438e14,0.2102,-2.74330e6,1.37037e6,-3.43715e-9
1504659120,31983671.447224386,28804494.032697596,3179.177,4.02127e14,0.8847,-2.76351e6,1.37583e6,-3.45085e-9
1504659150,31975905.075595953,28786839.450420175,3189.066,4.00925e14,0.5832,-2.77032e6,1.38129e6,-3.46455e-9
1504659180,31968086.669173792,28769161.507481344,3198.925,3.95684e14,0.7317,-2.76304e6,1.38676e6,-3.47825e-9
1504659210,31960216.27567156,28751460.427023556,3208.756,4.03606e14,1.2558,-2.80159e6,1.39222e6,-3.49194e-9
1504659240,31952293.943208918,28733736.433359172,3218.558,4.04378e14,1.4495,-2.81528e6,1.39768e6,-3.50564e-9
1504659270,31944319.720313057,28715989.7519744,3228.330,3.98687e14,0.0217,-2.80625e6,1.40314e6,-3.51933e-9
1504659300,31936293.65592025,28698220.609533075,3238.073,3.93989e14,1.1568,-2.80058e6,1.40860e6,-3.53303e-9
1504659330,31928215.799395032,28680429.233888958,3247.787,4.05416e14,1.7098,-2.85196e6,1.41406e6,-3.54672e-9
1504659360,31920086.20047754,28662615.854063295,3257.470,4.06349e14,1.9441,-2.86629e6,1.41952e6,-3.56041e-9
1504659390,31911904.909339566,28644780.700275324,3267.124,3.98211e14,0.0977,-2.84823e6,1.42498e6,-3.57411e-9
1504659420,31903671.976568658,28626924.003937382,3276.748,4.05261e14,1.6709,-2.88443e6,1.43044e6,-3.58780e-9
1504659450,31895387.45316998,28609045.997658733,3286.341,4.00844e14,0.5628,-2.87953e6,1.43590e6,-3.60148e-9
1504659480,31887051.39056801,28591146.915249452,3295.904,3.93382e14,1.3091,-2.86350e6,1.44136e6,-3.61517e-9
1504659510,31878663.840608507,28573226.99172418,3305.437,3.98950e14,0.0878,-2.89454e6,1.44681e6,-3.62885e-9
1504659540,31870224.855560243,28555286.46330594,3314.938,3.99493e14,0.2238,-2.90743e6,1.45227e6,-3.64254e-9
1504659570,31861734.488116905,28537325.567429863,3324.409,4.01055e14,0.6159,-2.92407e6,1.45772e6,-3.65622e-9
1504659600,31853192.791398946,28519344.54274697,3333.848,4.04406e14,1.4565,-2.94730e6,1.46318e6,-3.66989e-9
1504659630,31844599.818944484,28501343.629124995,3343.256,3.98533e14,0.0168,-2.93665e6,1.46863e6,-3.68357e-9
1504659660,31835955.62474512,28483323.067661125,3352.633,3.97546e14,0.2646,-2.94390e6,1.47408e6,-3.69724e-9
1504659690,31827260.26321375,28465283.100676246,3361.977,3.98047e14,0.1390,-2.95664e6,1.47953e6,-3.71091e-9
1504659720,31818513.789197396,28447223.971721712,3371.290,3.91808e14,1.7042,-2.94429e6,1.48498e6,-3.72457e-9
1504659750,31809716.25797906,28429145.92558293,3380.570,3.89237e14,2.3492,-2.94548e6,1.49043e6,-3.73823e-9
1504659780,31800867.725279562,28411049.208282903,3389.819,3.97256e14,0.3373,-2.98633e6,1.49587e6,-3.75189e-9
1504659810,31791968.247259345,28392934.067085788,3399.034,3.97043e14,0.3907,-2.99640e6,1.50132e6,-3.76554e-9
1504659840,31783017.88052035,28374800.750500426,3408.217,3.94849e14,0.9411,-2.99897e6,1.50676e6,-3.77920e-9
1504659870,31774016.68210784,28356649.508283757,3417.367,3.94334e14,1.0704,-3.00785e6,1.51220e6,-3.79284e-9
1504659900,31764964.709512264,28338480.59144439,3426.484,3.94440e14,1.0436,-3.01907e6,1.51764e6,-3.80648e-9
1504659930,31755862.020672094,28320294.25224346,3435.568,3.98781e14,0.0453,-3.04647e6,1.52308e6,-3.82012e-9
1504659960,31746708.673972744,28302090.744205475,3444.618,4.01098e14,0.6266,-3.06622e6,1.52851e6,-3.83375e-9
1504659990,31737504.728251517,28283870.32211458,3453.634,4.02604e14,1.0045,-3.08292e6,1.53395e6,-3.84738e-9
1504660020,31728250.242798444,28265633.242020037,3462.617,3.99933e14,0.3344,-3.08352e6,1.53938e6,-3.86100e-9
1504660050,31718945.2773583,28247379.761239573,3471.566,3.95901e14,0.6773,-3.07877e6,1.54481e6,-3.87461e-9
1504660080,31709589.892132506,28229110.138362575,3480.480,3.93684e14,1.2335,-3.08097e6,1.55024e6,-3.88822e-9
1504660110,31700184.147781137,28210824.633253362,3489.360,3.97042e14,0.3911,-3.10485e6,1.55566e6,-3.90183e-9
1504660140,31690728.105424866,28192523.50705425,3498.205,3.93073e14,1.3867,-3.10013e6,1.56108e6,-3.91543e-9
1504660170,31681221.826646965,28174207.02218877,3507.015,3.93512e14,1.2766,-3.11262e6,1.56650e6,-3.92902e-9
1504660200,31671665.37349537,28155875.442364734,3515.790,3.98606e14,0.0013,-3.14346e6,1.57192e6,-3.94260e-9
1504660230,31662058.808491375,28137529.03258363,3524.530,3.98148e14,0.1134,-3.15248e6,1.57733e6,-3.95618e-9
1504660260,31652402.194611028,28119168.059124205,3533.234,3.95894e14,0.6789,-3.15435e6,1.58274e6,-3.96975e-9
1504660290,31642695.59530793,28100792.78956468,3541.903,3.92711e14,1.4775,-3.15245e6,1.58815e6,-3.98331e-9
1504660320,31632939.07450866,28082403.492779605,3550.536,3.99107e14,0.1270,-3.18874e6,1.59356e6,-3.99687e-9
1504660350,31623132.696614962,28064000.438942775,3559.132,4.07562e14,2.2482,-3.23345e6,1.59896e6,-4.01042e-9
1504660380,31613276.52650586,28045583.899530098,3567.693,4.07365e14,2.1987,-3.24358e6,1.60436e6,-4.02396e-9
1504660410,31603370.629539937,28027154.147322513,3576.216,4.01185e14,0.6483,-3.22953e6,1.60975e6,-4.03749e-9
1504660440,31593415.07155744,28008711.456408806,3584.704,4.00160e14,0.3913,-3.23620e6,1.61515e6,-4.05101e-9
1504660470,31583409.918882553,27990256.102188293,3593.154,3.99426e14,0.2070,-3.24401e6,1.62054e6,-4.06453e-9
