#Iteration	Date	Time	STSX	STSY	RotationRateX	RotationRateY	FrCntX	FrCntY	TiptiltCmd1	TiptiltCmd2	TiptiltMonitor1	TiptiltMonitor2
1	10/05/2023	13:19:17.432	0.00000E+0	0.00000E+0	-1.37684E-2	5.74872E-2	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95177E+1	1.34988E+1
2	10/05/2023	13:19:19.006	0.00000E+0	0.00000E+0	1.95770E+1	2.14506E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95193E+1	1.34977E+1
3	10/05/2023	13:19:20.460	0.00000E+0	0.00000E+0	2.05883E+1	2.18625E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95214E+1	1.35009E+1
4	10/05/2023	13:19:21.919	0.00000E+0	0.00000E+0	3.08166E+1	3.25213E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95193E+1	1.34994E+1
5	10/05/2023	13:19:23.482	0.00000E+0	0.00000E+0	-4.99076E+1	-5.28716E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95212E+1	1.35013E+1
6	10/05/2023	13:19:24.959	0.00000E+0	0.00000E+0	-4.67394E+1	-4.73774E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95191E+1	1.34984E+1
7	10/05/2023	13:19:26.495	0.00000E+0	0.00000E+0	-1.61378E+1	-1.58404E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95159E+1	1.34998E+1
8	10/05/2023	13:19:28.030	0.00000E+0	0.00000E+0	-3.45874E+1	-3.87838E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95221E+1	1.35019E+1
9	10/05/2023	13:19:29.546	0.00000E+0	0.00000E+0	-4.96749E+1	-5.18664E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95203E+1	1.35016E+1
10	10/05/2023	13:19:31.223	0.00000E+0	0.00000E+0	-1.92561E+1	-1.95491E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95199E+1	1.34992E+1
11	10/05/2023	13:19:32.687	0.00000E+0	0.00000E+0	9.96731E+0	1.07781E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95207E+1	1.34981E+1
12	10/05/2023	13:19:34.117	0.00000E+0	0.00000E+0	2.11229E+1	2.11449E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95226E+1	1.35013E+1
13	10/05/2023	13:19:35.622	0.00000E+0	0.00000E+0	4.92256E+1	4.94301E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95209E+1	1.35006E+1
14	10/05/2023	13:19:37.105	0.00000E+0	0.00000E+0	1.36315E+1	1.28438E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95204E+1	1.34997E+1
15	10/05/2023	13:19:38.703	0.00000E+0	0.00000E+0	3.59730E+1	3.93645E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95233E+1	1.35001E+1
16	10/05/2023	13:19:40.173	0.00000E+0	0.00000E+0	3.89884E+1	3.69026E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95201E+1	1.34997E+1
17	10/05/2023	13:19:41.651	0.00000E+0	0.00000E+0	3.07485E+1	3.19281E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95187E+1	1.35000E+1
18	10/05/2023	13:19:43.240	0.00000E+0	0.00000E+0	4.46896E+1	4.09757E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95192E+1	1.35009E+1
19	10/05/2023	13:19:44.738	0.00000E+0	0.00000E+0	2.40873E+1	2.44961E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95188E+1	1.35011E+1
20	10/05/2023	13:19:46.268	0.00000E+0	0.00000E+0	-1.48698E+1	-1.67440E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95205E+1	1.34996E+1
21	10/05/2023	13:19:47.785	0.00000E+0	0.00000E+0	-3.29290E+1	-3.49914E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95204E+1	1.35004E+1
22	10/05/2023	13:19:49.270	0.00000E+0	0.00000E+0	-4.24259E+1	-4.39562E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95179E+1	1.34994E+1
23	10/05/2023	13:19:50.837	0.00000E+0	0.00000E+0	-2.62043E+1	-2.54432E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95182E+1	1.34975E+1
24	10/05/2023	13:19:52.298	0.00000E+0	0.00000E+0	-2.55038E+1	-2.66403E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95204E+1	1.35005E+1
25	10/05/2023	13:19:53.800	0.00000E+0	0.00000E+0	-6.49258E+1	-6.60379E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95202E+1	1.34989E+1
26	10/05/2023	13:19:55.384	0.00000E+0	0.00000E+0	-6.13392E+1	-6.09595E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95199E+1	1.35004E+1
27	10/05/2023	13:19:56.874	0.00000E+0	0.00000E+0	4.22301E+1	4.25523E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95194E+1	1.34986E+1
28	10/05/2023	13:19:58.412	0.00000E+0	0.00000E+0	6.88264E+1	7.11904E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95195E+1	1.34983E+1
29	10/05/2023	13:19:59.888	0.00000E+0	0.00000E+0	5.89163E+1	5.76155E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95215E+1	1.34995E+1
30	10/05/2023	13:20:01.369	0.00000E+0	0.00000E+0	3.04393E+1	3.27222E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95188E+1	1.34982E+1
31	10/05/2023	13:20:03.013	0.00000E+0	0.00000E+0	2.98009E+1	3.12029E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95179E+1	1.34996E+1
32	10/05/2023	13:20:04.560	0.00000E+0	0.00000E+0	2.39680E+1	2.33809E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95179E+1	1.35001E+1
33	10/05/2023	13:20:06.075	0.00000E+0	0.00000E+0	9.09571E+0	9.29956E+0	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95201E+1	1.34987E+1
34	10/05/2023	13:20:07.635	0.00000E+0	0.00000E+0	-1.28265E+1	-1.35305E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95211E+1	1.35001E+1
35	10/05/2023	13:20:09.139	0.00000E+0	0.00000E+0	-1.08338E+1	-1.08322E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95207E+1	1.34999E+1
36	10/05/2023	13:20:10.655	0.00000E+0	0.00000E+0	-1.89971E+1	-2.01876E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95201E+1	1.34974E+1
37	10/05/2023	13:20:12.139	0.00000E+0	0.00000E+0	-1.17702E+1	-1.19015E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95183E+1	1.34996E+1
38	10/05/2023	13:20:13.612	0.00000E+0	0.00000E+0	-3.30841E+1	-3.37725E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95237E+1	1.34986E+1
39	10/05/2023	13:20:15.174	0.00000E+0	0.00000E+0	-1.24067E+1	-1.19169E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95211E+1	1.34997E+1
40	10/05/2023	13:20:16.627	0.00000E+0	0.00000E+0	-2.00737E+1	-2.24417E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95173E+1	1.34988E+1
41	10/05/2023	13:20:18.161	0.00000E+0	0.00000E+0	-1.60989E+1	-1.47809E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95213E+1	1.35010E+1
42	10/05/2023	13:20:19.649	0.00000E+0	0.00000E+0	-2.94511E+1	-3.15245E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95195E+1	1.35016E+1
43	10/05/2023	13:20:21.207	0.00000E+0	0.00000E+0	-1.35910E+1	-1.35538E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95192E+1	1.35005E+1
44	10/05/2023	13:20:22.820	0.00000E+0	0.00000E+0	-1.22748E+1	-1.18456E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95176E+1	1.34996E+1
45	10/05/2023	13:20:24.474	0.00000E+0	0.00000E+0	-1.66776E+1	-1.59314E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95202E+1	1.35001E+1
46	10/05/2023	13:20:26.382	0.00000E+0	0.00000E+0	-1.84479E+1	-2.09102E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95188E+1	1.34983E+1
47	10/05/2023	13:20:27.847	0.00000E+0	0.00000E+0	-1.75391E+1	-1.71924E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95201E+1	1.35000E+1
48	10/05/2023	13:20:29.350	0.00000E+0	0.00000E+0	2.67286E+0	2.47109E+0	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95196E+1	1.35006E+1
49	10/05/2023	13:20:30.848	0.00000E+0	0.00000E+0	1.32058E+1	1.33542E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95198E+1	1.35000E+1
50	10/05/2023	13:20:32.322	0.00000E+0	0.00000E+0	1.90125E+1	1.85889E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95191E+1	1.35019E+1
51	10/05/2023	13:20:33.826	0.00000E+0	0.00000E+0	5.96866E+0	6.56634E+0	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95187E+1	1.35019E+1
52	10/05/2023	13:20:35.419	0.00000E+0	0.00000E+0	1.32267E+1	1.37210E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95201E+1	1.34999E+1
53	10/05/2023	13:20:36.910	0.00000E+0	0.00000E+0	1.67387E+1	1.61345E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95212E+1	1.34997E+1
54	10/05/2023	13:20:38.426	0.00000E+0	0.00000E+0	1.49069E+1	1.73153E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95199E+1	1.35002E+1
55	10/05/2023	13:20:39.998	0.00000E+0	0.00000E+0	2.33940E+1	2.56328E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95177E+1	1.34995E+1
56	10/05/2023	13:20:41.460	0.00000E+0	0.00000E+0	1.28838E+1	1.18943E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95233E+1	1.34998E+1
57	10/05/2023	13:20:43.050	0.00000E+0	0.00000E+0	3.42787E+1	3.56559E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95226E+1	1.34997E+1
58	10/05/2023	13:20:44.529	0.00000E+0	0.00000E+0	2.48332E+1	2.49641E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95174E+1	1.34988E+1
59	10/05/2023	13:20:45.997	0.00000E+0	0.00000E+0	2.82210E+1	2.87178E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95200E+1	1.34992E+1
60	10/05/2023	13:20:47.563	0.00000E+0	0.00000E+0	2.01922E+1	2.14600E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95190E+1	1.35012E+1
61	10/05/2023	13:20:49.107	0.00000E+0	0.00000E+0	2.20654E+1	2.19938E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95177E+1	1.35012E+1
62	10/05/2023	13:20:50.642	0.00000E+0	0.00000E+0	-3.83550E+1	-3.85164E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95213E+1	1.35005E+1
63	10/05/2023	13:20:52.102	0.00000E+0	0.00000E+0	-4.99477E+1	-5.18190E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95186E+1	1.35017E+1
64	10/05/2023	13:20:53.585	0.00000E+0	0.00000E+0	-6.77641E+1	-6.79801E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95177E+1	1.35008E+1
65	10/05/2023	13:20:55.157	0.00000E+0	0.00000E+0	-5.72433E+1	-5.48123E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95187E+1	1.35002E+1
66	10/05/2023	13:20:56.684	0.00000E+0	0.00000E+0	-5.06796E+1	-5.14130E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95198E+1	1.35003E+1
67	10/05/2023	13:20:58.125	0.00000E+0	0.00000E+0	3.78214E+0	5.51673E+0	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95206E+1	1.34989E+1
68	10/05/2023	13:20:59.726	0.00000E+0	0.00000E+0	5.38910E+1	5.69877E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95243E+1	1.34989E+1
69	10/05/2023	13:21:01.208	0.00000E+0	0.00000E+0	4.00091E+1	4.15587E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95192E+1	1.34951E+1
70	10/05/2023	13:21:02.724	0.00000E+0	0.00000E+0	4.36829E+1	4.35097E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95178E+1	1.34989E+1
71	10/05/2023	13:21:04.195	0.00000E+0	0.00000E+0	3.34625E+1	3.41351E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95220E+1	1.34982E+1
72	10/05/2023	13:21:05.725	0.00000E+0	0.00000E+0	1.79507E+1	1.62033E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95209E+1	1.34989E+1
73	10/05/2023	13:21:07.318	0.00000E+0	0.00000E+0	4.23105E+1	4.31468E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95196E+1	1.34999E+1
74	10/05/2023	13:21:08.835	0.00000E+0	0.00000E+0	-2.04338E+1	-2.47299E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95203E+1	1.35017E+1
75	10/05/2023	13:21:10.330	0.00000E+0	0.00000E+0	-4.95671E+1	-4.80766E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95210E+1	1.35010E+1
76	10/05/2023	13:21:11.785	0.00000E+0	0.00000E+0	-5.91916E+1	-5.95473E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95186E+1	1.35003E+1
77	10/05/2023	13:21:13.266	0.00000E+0	0.00000E+0	-5.55548E+1	-5.83256E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95192E+1	1.35023E+1
78	10/05/2023	13:21:14.851	0.00000E+0	0.00000E+0	-5.28509E+1	-5.20320E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95200E+1	1.34999E+1
79	10/05/2023	13:21:16.321	0.00000E+0	0.00000E+0	-4.64353E+1	-4.54622E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95194E+1	1.35015E+1
80	10/05/2023	13:21:17.823	0.00000E+0	0.00000E+0	3.53172E+1	3.73008E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95202E+1	1.34986E+1
81	10/05/2023	13:21:19.298	0.00000E+0	0.00000E+0	4.65718E+1	4.65239E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95224E+1	1.34996E+1
82	10/05/2023	13:21:20.823	0.00000E+0	0.00000E+0	4.62086E+1	4.55123E+1	0.00000E+0	0.00000E+0	1.95200E+1	1.35000E+1	1.95196E+1	1.35005E+1
