#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	10/05/2023	13:35:01.104	3.47408299E+0	-8.97000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
2	10/05/2023	13:35:02.591	5.02148611E+0	-8.98000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
3	10/05/2023	13:35:04.113	1.99034007E+0	-8.97000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
4	10/05/2023	13:35:05.575	3.45184027E+0	-8.92000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
5	10/05/2023	13:35:07.016	1.60684488E-1	-8.78000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
6	10/05/2023	13:35:08.588	5.66000561E+0	-8.66000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
7	10/05/2023	13:35:10.075	2.80450038E+0	-8.47000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
8	10/05/2023	13:35:11.564	2.40489838E+0	-8.15000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
9	10/05/2023	13:35:13.026	4.97661717E+0	-7.99000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
10	10/05/2023	13:35:14.491	6.39286493E-1	-7.80000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
11	10/05/2023	13:35:16.155	1.42468466E+0	-8.09000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
12	10/05/2023	13:35:17.621	4.16130638E+0	-8.42000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
13	10/05/2023	13:35:19.223	3.20832082E+0	-8.69000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
14	10/05/2023	13:35:20.729	5.90966099E-1	-8.82000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
15	10/05/2023	13:35:22.246	1.68277692E+0	-8.98000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
16	10/05/2023	13:35:23.774	3.98873354E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
17	10/05/2023	13:35:25.243	5.66997649E+0	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
18	10/05/2023	13:35:26.707	2.13606825E-1	-9.04000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
19	10/05/2023	13:35:28.333	4.60385984E+0	-8.95000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
20	10/05/2023	13:35:29.825	4.30741805E+0	-8.90000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
21	10/05/2023	13:35:31.358	5.24314633E+0	-8.72000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
22	10/05/2023	13:35:32.821	5.00883077E+0	-8.59000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
23	10/05/2023	13:35:34.324	1.03850499E+0	-8.42000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
24	10/05/2023	13:35:36.029	4.83855890E+0	-8.14000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
25	10/05/2023	13:35:37.523	4.52179187E+0	-7.87000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
26	10/05/2023	13:35:38.988	1.11098559E+0	-7.82000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
27	10/05/2023	13:35:40.441	5.95414643E+0	-8.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
28	10/05/2023	13:35:41.918	4.56819479E+0	-8.30000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
29	10/05/2023	13:35:43.493	5.20786477E-1	-8.63000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
30	10/05/2023	13:35:44.983	1.50368467E+0	-8.80000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
31	10/05/2023	13:35:46.420	2.63767996E+0	-8.95000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
32	10/05/2023	13:35:48.004	5.37046674E+0	-9.00000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
33	10/05/2023	13:35:49.501	2.37038381E+0	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
