#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	10/05/2023	13:49:01.002	0.00000000E+0	-1.56922630E+3	5.00000000E+0	4.45736467E+0	-8.81000000E+2	4.91198285E-1
2	10/05/2023	13:49:02.547	0.00000000E+0	-1.56294311E+3	5.00000000E+0	1.38250019E+0	-8.81000000E+2	4.82861954E-1
3	10/05/2023	13:49:04.034	0.00000000E+0	-1.55665993E+3	5.00000000E+0	3.66429661E+0	-8.81000000E+2	4.60964137E-1
4	10/05/2023	13:49:05.526	0.00000000E+0	-1.55037674E+3	5.00000000E+0	1.17541278E+0	-8.79000000E+2	4.75660651E-1
5	10/05/2023	13:49:07.049	0.00000000E+0	-1.54409356E+3	5.00000000E+0	1.13054384E+0	-8.71000000E+2	5.50095597E-1
6	10/05/2023	13:49:08.516	0.00000000E+0	-1.53781037E+3	5.00000000E+0	4.09572870E-1	-8.77000000E+2	5.17712181E-1
7	10/05/2023	13:49:10.114	0.00000000E+0	-1.53152719E+3	5.00000000E+0	4.74767054E-1	-8.71000000E+2	3.98510774E-1
8	10/05/2023	13:49:11.569	0.00000000E+0	-1.52524400E+3	5.00000000E+0	3.98835005E-2	-8.66000000E+2	3.87873885E-1
9	10/05/2023	13:49:13.000	0.00000000E+0	-1.51896082E+3	5.00000000E+0	1.74375266E+0	-8.72000000E+2	5.65357985E-1
10	10/05/2023	13:49:14.575	0.00000000E+0	-1.51267763E+3	5.00000000E+0	1.97998570E+0	-8.72000000E+2	5.97513758E-1
11	10/05/2023	13:49:16.022	0.00000000E+0	-1.50639444E+3	5.00000000E+0	3.62172864E+0	-8.67000000E+2	4.32855058E-1
12	10/05/2023	13:49:17.486	0.00000000E+0	-1.50011126E+3	5.00000000E+0	1.65900022E+0	-8.86000000E+2	4.74816130E-1
13	10/05/2023	13:49:19.145	0.00000000E+0	-1.49382807E+3	5.00000000E+0	4.15747143E+0	-8.65000000E+2	3.51119879E-1
14	10/05/2023	13:49:20.586	0.00000000E+0	-1.48754489E+3	5.00000000E+0	2.31746148E+0	-8.67000000E+2	6.30080578E-1
15	10/05/2023	13:49:22.161	0.00000000E+0	-1.48126170E+3	5.00000000E+0	6.24330181E-1	-8.60000000E+2	6.03378496E-1
16	10/05/2023	13:49:23.648	0.00000000E+0	-1.47497852E+3	5.00000000E+0	6.20878724E-1	-8.66000000E+2	4.15937705E-1
17	10/05/2023	13:49:25.088	0.00000000E+0	-1.46869533E+3	5.00000000E+0	6.12403480E+0	-8.58000000E+2	5.00755153E-1
18	10/05/2023	13:49:26.652	0.00000000E+0	-1.46241215E+3	5.00000000E+0	3.45145677E-2	-8.71000000E+2	4.52684157E-1
19	10/05/2023	13:49:28.114	0.00000000E+0	-1.45612896E+3	5.00000000E+0	2.64074793E+0	-8.70000000E+2	4.32321383E-1
20	10/05/2023	13:49:29.574	0.00000000E+0	-1.44984578E+3	5.00000000E+0	2.30250516E+0	-8.67000000E+2	4.21707664E-1
