#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
1	11/05/2023	14:17:21.469	0.00000000E+0	-1.56922630E+3	5.00000000E+0	4.91862896E-1	0.00000000E+0
2	11/05/2023	14:17:22.978	0.00000000E+0	-1.56294311E+3	5.00000000E+0	4.77529111E-1	0.00000000E+0
3	11/05/2023	14:17:24.446	0.00000000E+0	-1.55665993E+3	5.00000000E+0	4.95187379E-1	0.00000000E+0
4	11/05/2023	14:17:25.875	0.00000000E+0	-1.55037674E+3	5.00000000E+0	4.97248439E-1	0.00000000E+0
5	11/05/2023	14:17:27.298	0.00000000E+0	-1.54409356E+3	5.00000000E+0	4.84703292E-1	0.00000000E+0
6	11/05/2023	14:17:28.753	0.00000000E+0	-1.53781037E+3	5.00000000E+0	5.17947662E-1	0.00000000E+0
7	11/05/2023	14:17:30.168	0.00000000E+0	-1.53152719E+3	5.00000000E+0	3.05125885E-1	0.00000000E+0
8	11/05/2023	14:17:31.600	0.00000000E+0	-1.52524400E+3	5.00000000E+0	3.18722607E-1	0.00000000E+0
9	11/05/2023	14:17:33.009	0.00000000E+0	-1.51896082E+3	5.00000000E+0	6.07505075E-1	0.00000000E+0
10	11/05/2023	14:17:34.469	0.00000000E+0	-1.51267763E+3	5.00000000E+0	5.96814676E-1	0.00000000E+0
11	11/05/2023	14:17:35.901	0.00000000E+0	-1.50639444E+3	5.00000000E+0	6.73214448E-1	0.00000000E+0
12	11/05/2023	14:17:37.306	0.00000000E+0	-1.50011126E+3	5.00000000E+0	4.31473891E-1	0.00000000E+0
13	11/05/2023	14:17:38.731	0.00000000E+0	-1.49382807E+3	5.00000000E+0	4.10767387E-1	0.00000000E+0
14	11/05/2023	14:17:40.154	0.00000000E+0	-1.48754489E+3	5.00000000E+0	3.88963076E-1	0.00000000E+0
15	11/05/2023	14:17:41.564	0.00000000E+0	-1.48126170E+3	5.00000000E+0	4.68727510E-1	0.00000000E+0
16	11/05/2023	14:17:42.958	0.00000000E+0	-1.47497852E+3	5.00000000E+0	4.89437023E-1	0.00000000E+0
17	11/05/2023	14:17:44.392	0.00000000E+0	-1.46869533E+3	5.00000000E+0	4.90799450E-1	0.00000000E+0
18	11/05/2023	14:17:45.855	0.00000000E+0	-1.46241215E+3	5.00000000E+0	4.73668769E-1	0.00000000E+0
19	11/05/2023	14:17:47.283	0.00000000E+0	-1.45612896E+3	5.00000000E+0	4.94600851E-1	0.00000000E+0
20	11/05/2023	14:17:48.726	0.00000000E+0	-1.44984578E+3	5.00000000E+0	4.64536307E-1	0.00000000E+0
21	11/05/2023	14:17:50.147	0.00000000E+0	-1.44356259E+3	5.00000000E+0	4.96178130E-1	0.00000000E+0
22	11/05/2023	14:17:51.562	0.00000000E+0	-1.43727941E+3	5.00000000E+0	4.62394344E-1	0.00000000E+0
23	11/05/2023	14:17:53.040	0.00000000E+0	-1.43099622E+3	5.00000000E+0	4.87968062E-1	0.00000000E+0
24	11/05/2023	14:17:54.478	0.00000000E+0	-1.42471304E+3	5.00000000E+0	4.87803403E-1	0.00000000E+0
25	11/05/2023	14:17:55.892	0.00000000E+0	-1.41842985E+3	5.00000000E+0	4.86817723E-1	0.00000000E+0
26	11/05/2023	14:17:57.311	0.00000000E+0	-1.41214666E+3	5.00000000E+0	4.78879253E-1	0.00000000E+0
27	11/05/2023	14:17:58.740	0.00000000E+0	-1.40586348E+3	5.00000000E+0	4.86293332E-1	0.00000000E+0
28	11/05/2023	14:18:00.171	0.00000000E+0	-1.39958029E+3	5.00000000E+0	4.72600194E-1	0.00000000E+0
29	11/05/2023	14:18:01.592	0.00000000E+0	-1.39329711E+3	5.00000000E+0	4.79343680E-1	0.00000000E+0
30	11/05/2023	14:18:03.044	0.00000000E+0	-1.38701392E+3	5.00000000E+0	4.72742632E-1	0.00000000E+0
31	11/05/2023	14:18:04.498	0.00000000E+0	-1.38073074E+3	5.00000000E+0	5.04899488E-1	0.00000000E+0
32	11/05/2023	14:18:05.937	0.00000000E+0	-1.37444755E+3	5.00000000E+0	4.79875699E-1	0.00000000E+0
33	11/05/2023	14:18:07.335	0.00000000E+0	-1.36816437E+3	5.00000000E+0	4.74925266E-1	0.00000000E+0
34	11/05/2023	14:18:08.753	0.00000000E+0	-1.36188118E+3	5.00000000E+0	4.73491540E-1	0.00000000E+0
35	11/05/2023	14:18:10.239	0.00000000E+0	-1.35559800E+3	5.00000000E+0	4.60938229E-1	0.00000000E+0
36	11/05/2023	14:18:11.764	0.00000000E+0	-1.34931481E+3	5.00000000E+0	4.92745140E-1	0.00000000E+0
37	11/05/2023	14:18:13.161	0.00000000E+0	-1.34303163E+3	5.00000000E+0	5.00533222E-1	0.00000000E+0
38	11/05/2023	14:18:14.604	0.00000000E+0	-1.33674844E+3	5.00000000E+0	5.19918901E-1	0.00000000E+0
39	11/05/2023	14:18:16.056	0.00000000E+0	-1.33046526E+3	5.00000000E+0	4.77001849E-1	0.00000000E+0
40	11/05/2023	14:18:17.495	0.00000000E+0	-1.32418207E+3	5.00000000E+0	4.82067643E-1	0.00000000E+0
41	11/05/2023	14:18:18.904	0.00000000E+0	-1.31789889E+3	5.00000000E+0	4.98918498E-1	0.00000000E+0
42	11/05/2023	14:18:20.308	0.00000000E+0	-1.31161570E+3	5.00000000E+0	5.57585480E-1	0.00000000E+0
43	11/05/2023	14:18:21.757	0.00000000E+0	-1.30533251E+3	5.00000000E+0	4.80321538E-1	0.00000000E+0
44	11/05/2023	14:18:23.205	0.00000000E+0	-1.29904933E+3	5.00000000E+0	4.79988262E-1	0.00000000E+0
45	11/05/2023	14:18:24.617	0.00000000E+0	-1.29276614E+3	5.00000000E+0	4.77262026E-1	0.00000000E+0
46	11/05/2023	14:18:26.039	0.00000000E+0	-1.28648296E+3	5.00000000E+0	4.82074732E-1	0.00000000E+0
