#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	02/09/2022	16:33:38.263	0.00000000E+0	-3.14159265E+1	5.00000000E+0	1.60914585E+0	-6.30000000E+2	3.95767670E-1
2	02/09/2022	16:33:39.772	0.00000000E+0	-3.12065382E+1	5.00000000E+0	2.95291302E+0	-6.30000000E+2	4.05755807E-1
3	02/09/2022	16:33:41.170	0.00000000E+0	-3.09971498E+1	5.00000000E+0	4.15900541E+0	-6.31000000E+2	4.27592073E-1
4	02/09/2022	16:33:42.652	0.00000000E+0	-3.07877614E+1	5.00000000E+0	4.91525794E+0	-6.30000000E+2	4.36810887E-1
5	02/09/2022	16:33:44.169	0.00000000E+0	-3.05779895E+1	5.00000000E+0	3.87215100E+0	-6.30000000E+2	4.56981424E-1
6	02/09/2022	16:33:45.556	0.00000000E+0	-3.03686012E+1	5.00000000E+0	5.12924826E+0	-6.31000000E+2	4.72885097E-1
7	02/09/2022	16:33:47.076	0.00000000E+0	-3.01592128E+1	5.00000000E+0	5.34899101E+0	-6.30000000E+2	4.92662060E-1
8	02/09/2022	16:33:48.447	0.00000000E+0	-2.99498244E+1	5.00000000E+0	6.16123383E+0	-6.30000000E+2	5.07830966E-1
9	02/09/2022	16:33:49.927	0.00000000E+0	-2.97404360E+1	5.00000000E+0	4.97086474E+0	-6.31000000E+2	5.19734319E-1
10	02/09/2022	16:33:51.431	0.00000000E+0	-2.95310476E+1	5.00000000E+0	5.48781627E+0	-6.31000000E+2	5.29874938E-1
11	02/09/2022	16:33:52.834	0.00000000E+0	-2.93216593E+1	5.00000000E+0	4.68784529E+0	-6.30000000E+2	5.28495143E-1
12	02/09/2022	16:33:54.232	0.00000000E+0	-2.91122709E+1	5.00000000E+0	3.10937906E+0	-6.30000000E+2	5.33844003E-1
13	02/09/2022	16:33:55.664	0.00000000E+0	-2.89024990E+1	5.00000000E+0	3.80235488E+0	-6.30000000E+2	5.27188791E-1
14	02/09/2022	16:33:57.070	0.00000000E+0	-2.86931106E+1	5.00000000E+0	6.21875811E+0	-6.30000000E+2	5.25010276E-1
15	02/09/2022	16:33:58.574	0.00000000E+0	-2.84837223E+1	5.00000000E+0	4.96166086E+0	-6.30000000E+2	5.10464273E-1
16	02/09/2022	16:33:59.964	0.00000000E+0	-2.82743339E+1	5.00000000E+0	4.99732591E+0	-6.31000000E+2	5.03472885E-1
17	02/09/2022	16:34:01.401	0.00000000E+0	-2.80649455E+1	5.00000000E+0	4.73079675E+0	-6.30000000E+2	4.86333721E-1
18	02/09/2022	16:34:02.912	0.00000000E+0	-2.78555571E+1	5.00000000E+0	5.90812700E+0	-6.30000000E+2	4.76792943E-1
19	02/09/2022	16:34:04.312	0.00000000E+0	-2.76461687E+1	5.00000000E+0	1.07378655E+0	-6.30000000E+2	4.47917011E-1
20	02/09/2022	16:34:05.769	0.00000000E+0	-2.74363969E+1	5.00000000E+0	5.57410269E+0	-6.31000000E+2	4.34452095E-1
21	02/09/2022	16:34:07.153	0.00000000E+0	-2.72270085E+1	5.00000000E+0	5.98904449E+0	-6.30000000E+2	4.15014897E-1
22	02/09/2022	16:34:08.553	0.00000000E+0	-2.70176201E+1	5.00000000E+0	5.35435994E+0	-6.31000000E+2	4.04592731E-1
23	02/09/2022	16:34:10.105	0.00000000E+0	-2.68082317E+1	5.00000000E+0	7.62771947E-1	-6.30000000E+2	3.83563068E-1
24	02/09/2022	16:34:11.498	0.00000000E+0	-2.65988434E+1	5.00000000E+0	3.13852469E+0	-6.30000000E+2	3.74571263E-1
25	02/09/2022	16:34:12.940	0.00000000E+0	-2.63894550E+1	5.00000000E+0	3.34062666E+0	-6.30000000E+2	3.60812678E-1
26	02/09/2022	16:34:14.329	0.00000000E+0	-2.61800666E+1	5.00000000E+0	1.45613126E+0	-6.30000000E+2	3.65924994E-1
27	02/09/2022	16:34:15.720	0.00000000E+0	-2.59706782E+1	5.00000000E+0	1.21031084E+0	-6.30000000E+2	3.63680511E-1
28	02/09/2022	16:34:17.169	0.00000000E+0	-2.57609064E+1	5.00000000E+0	5.57525317E+0	-6.31000000E+2	3.66681695E-1
29	02/09/2022	16:34:18.570	0.00000000E+0	-2.55515180E+1	5.00000000E+0	2.65071880E+0	-6.30000000E+2	3.67920734E-1
30	02/09/2022	16:34:19.973	0.00000000E+0	-2.53421296E+1	5.00000000E+0	5.97715614E+0	-6.30000000E+2	3.81423490E-1
31	02/09/2022	16:34:21.489	0.00000000E+0	-2.51327412E+1	5.00000000E+0	3.27466549E+0	-6.30000000E+2	3.94042183E-1
32	02/09/2022	16:34:22.861	0.00000000E+0	-2.49233529E+1	5.00000000E+0	1.40742737E+0	-6.30000000E+2	4.08246614E-1
