#Iteration	Date	Time	STSX	STSY	RotationRateX	RotationRateY	FrCntX	FrCntY	TiptiltCmd1	TiptiltCmd2	TiptiltMonitor1	TiptiltMonitor2
1	02/09/2022	16:52:17.747	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00009E+1	1.39998E+1
2	02/09/2022	16:52:19.255	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99989E+1	1.40013E+1
3	02/09/2022	16:52:20.653	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99986E+1	1.40002E+1
4	02/09/2022	16:52:22.145	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00008E+1	1.40012E+1
5	02/09/2022	16:52:23.554	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00013E+1	1.40012E+1
6	02/09/2022	16:52:24.920	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99988E+1	1.40001E+1
7	02/09/2022	16:52:26.472	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99991E+1	1.40010E+1
8	02/09/2022	16:52:27.873	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00007E+1	1.40000E+1
9	02/09/2022	16:52:29.332	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00009E+1	1.40005E+1
10	02/09/2022	16:52:30.819	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00017E+1	1.40012E+1
11	02/09/2022	16:52:32.206	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99989E+1	1.39989E+1
12	02/09/2022	16:52:33.718	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00014E+1	1.40020E+1
13	02/09/2022	16:52:35.114	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99985E+1	1.40002E+1
14	02/09/2022	16:52:36.512	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00012E+1	1.40004E+1
15	02/09/2022	16:52:37.977	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00007E+1	1.40012E+1
16	02/09/2022	16:52:39.374	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99993E+1	1.40011E+1
17	02/09/2022	16:52:40.854	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00000E+1	1.40001E+1
18	02/09/2022	16:52:42.299	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00020E+1	1.40008E+1
19	02/09/2022	16:52:43.693	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00003E+1	1.39972E+1
20	02/09/2022	16:52:45.209	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00004E+1	1.39985E+1
21	02/09/2022	16:52:46.584	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00019E+1	1.40017E+1
22	02/09/2022	16:52:47.985	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00014E+1	1.39989E+1
23	02/09/2022	16:52:49.510	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99999E+1	1.40002E+1
24	02/09/2022	16:52:50.894	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99999E+1	1.40017E+1
25	02/09/2022	16:52:52.428	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99992E+1	1.39995E+1
26	02/09/2022	16:52:53.805	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00005E+1	1.40010E+1
27	02/09/2022	16:52:55.197	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00007E+1	1.40006E+1
28	02/09/2022	16:52:56.708	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00000E+1	1.39992E+1
29	02/09/2022	16:52:58.104	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00002E+1	1.39978E+1
