#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
1	15/03/2023	16:55:57.991	0.00000000E+0	-6.28318531E+0	4.00000000E+0	3.13985247E-1	0.00000000E+0
3	15/03/2023	16:56:01.026	0.00000000E+0	-6.17849112E+0	4.00000000E+0	3.22248191E-1	0.00000000E+0
5	15/03/2023	16:56:04.088	0.00000000E+0	-6.07379693E+0	4.00000000E+0	6.07743860E-1	0.00000000E+0
7	15/03/2023	16:56:07.082	0.00000000E+0	-5.96910274E+0	4.00000000E+0	5.77793182E-1	0.00000000E+0
9	15/03/2023	16:56:10.090	0.00000000E+0	-5.86440855E+0	4.00000000E+0	4.26663736E-1	0.00000000E+0
11	15/03/2023	16:56:13.076	0.00000000E+0	-5.75971436E+0	4.00000000E+0	4.73278440E-1	0.00000000E+0
13	15/03/2023	16:56:16.072	0.00000000E+0	-5.65502017E+0	4.00000000E+0	4.53192493E-1	0.00000000E+0
15	15/03/2023	16:56:19.048	0.00000000E+0	-5.55032599E+0	4.00000000E+0	3.94358641E-1	0.00000000E+0
17	15/03/2023	16:56:21.953	0.00000000E+0	-5.44524830E+0	4.00000000E+0	4.53243358E-1	0.00000000E+0
19	15/03/2023	16:56:24.891	0.00000000E+0	-5.34055411E+0	4.00000000E+0	3.49013222E-1	0.00000000E+0
21	15/03/2023	16:56:27.904	0.00000000E+0	-5.23585992E+0	4.00000000E+0	6.28408287E-1	0.00000000E+0
23	15/03/2023	16:56:30.830	0.00000000E+0	-5.13116574E+0	4.00000000E+0	6.02020646E-1	0.00000000E+0
25	15/03/2023	16:56:33.846	0.00000000E+0	-5.02647155E+0	4.00000000E+0	6.65558896E-1	0.00000000E+0
27	15/03/2023	16:56:36.798	0.00000000E+0	-4.92177736E+0	4.00000000E+0	3.96456443E-1	0.00000000E+0
29	15/03/2023	16:56:39.793	0.00000000E+0	-4.81708317E+0	4.00000000E+0	4.18828134E-1	0.00000000E+0
31	15/03/2023	16:56:42.758	0.00000000E+0	-4.71238898E+0	4.00000000E+0	4.37404455E-1	0.00000000E+0
33	15/03/2023	16:56:45.717	0.00000000E+0	-4.60769479E+0	4.00000000E+0	6.58180518E-1	0.00000000E+0
35	15/03/2023	16:56:48.669	0.00000000E+0	-4.50300060E+0	4.00000000E+0	6.32094155E-1	0.00000000E+0
37	15/03/2023	16:56:51.744	0.00000000E+0	-4.39830641E+0	4.00000000E+0	4.31496718E-1	0.00000000E+0
39	15/03/2023	16:56:54.707	0.00000000E+0	-4.29361223E+0	4.00000000E+0	4.67126646E-1	0.00000000E+0
41	15/03/2023	16:56:57.673	0.00000000E+0	-4.18891804E+0	4.00000000E+0	6.43330716E-1	0.00000000E+0
43	15/03/2023	16:57:00.699	0.00000000E+0	-4.08422385E+0	4.00000000E+0	3.21180988E-1	0.00000000E+0
45	15/03/2023	16:57:03.698	0.00000000E+0	-3.97952966E+0	4.00000000E+0	4.70735299E-1	0.00000000E+0
47	15/03/2023	16:57:06.703	0.00000000E+0	-3.87445198E+0	4.00000000E+0	5.46828670E-1	0.00000000E+0
49	15/03/2023	16:57:09.693	0.00000000E+0	-3.76975779E+0	4.00000000E+0	4.86451611E-1	0.00000000E+0
51	15/03/2023	16:57:12.672	0.00000000E+0	-3.66506360E+0	4.00000000E+0	4.58716602E-1	0.00000000E+0
53	15/03/2023	16:57:15.699	0.00000000E+0	-3.56036941E+0	4.00000000E+0	5.91910720E-1	0.00000000E+0
55	15/03/2023	16:57:18.657	0.00000000E+0	-3.45567522E+0	4.00000000E+0	4.19736593E-1	0.00000000E+0
57	15/03/2023	16:57:21.657	0.00000000E+0	-3.35098103E+0	4.00000000E+0	4.11629979E-1	0.00000000E+0
59	15/03/2023	16:57:24.675	0.00000000E+0	-3.24628684E+0	4.00000000E+0	4.87555565E-1	0.00000000E+0
61	15/03/2023	16:57:27.696	0.00000000E+0	-3.14159265E+0	4.00000000E+0	4.26660937E-1	0.00000000E+0
63	15/03/2023	16:57:30.699	0.00000000E+0	-3.03689846E+0	4.00000000E+0	3.19543733E-1	0.00000000E+0
65	15/03/2023	16:57:33.680	0.00000000E+0	-2.93220428E+0	4.00000000E+0	4.91884587E-1	0.00000000E+0
67	15/03/2023	16:57:36.671	0.00000000E+0	-2.82751009E+0	4.00000000E+0	5.61702493E-1	0.00000000E+0
