#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	15/03/2023	17:06:17.711	4.64451033E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
2	15/03/2023	17:06:19.248	1.23830599E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
3	15/03/2023	17:06:20.771	3.61214126E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
4	15/03/2023	17:06:22.280	2.41141780E+0	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
5	15/03/2023	17:06:23.802	1.67203906E+0	2.48100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
6	15/03/2023	17:06:25.286	3.40735483E+0	-2.50800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
7	15/03/2023	17:06:26.838	2.80104892E+0	2.50000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
8	15/03/2023	17:06:28.311	5.48168035E+0	-2.50600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
9	15/03/2023	17:06:29.782	2.05016532E+0	2.48100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
10	15/03/2023	17:06:31.350	1.71767499E+0	-2.48900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
11	15/03/2023	17:06:32.837	2.14757310E-1	2.50800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
12	15/03/2023	17:06:34.352	3.65931117E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
13	15/03/2023	17:06:35.810	2.42407314E+0	2.52000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
14	15/03/2023	17:06:37.297	2.43634499E+0	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
15	15/03/2023	17:06:38.805	9.15786530E-1	2.47500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
16	15/03/2023	17:06:40.340	4.32544233E+0	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
17	15/03/2023	17:06:41.881	7.44364177E-1	2.50500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
18	15/03/2023	17:06:43.441	2.76806833E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
19	15/03/2023	17:06:44.964	6.19037947E+0	2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
20	15/03/2023	17:06:46.524	5.75434543E+0	-2.50700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
21	15/03/2023	17:06:48.040	1.20455841E+0	2.49400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
22	15/03/2023	17:06:49.534	3.97224325E+0	-2.47400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
23	15/03/2023	17:06:51.047	5.63469493E+0	2.49800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
24	15/03/2023	17:06:52.545	2.70670910E+0	-2.50700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
25	15/03/2023	17:06:54.057	4.84239385E+0	2.52000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
26	15/03/2023	17:06:55.557	6.26822899E+0	-2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
27	15/03/2023	17:06:57.055	4.65563169E+0	2.49500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
28	15/03/2023	17:06:58.566	1.49601476E+0	-2.47800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
29	15/03/2023	17:07:00.038	2.27029157E+0	2.48300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
30	15/03/2023	17:07:01.512	5.95989886E+0	-2.50000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
31	15/03/2023	17:07:02.973	5.16529681E+0	2.50800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
32	15/03/2023	17:07:04.493	5.10738903E+0	-2.51700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
33	15/03/2023	17:07:05.984	6.93359316E-1	2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
34	15/03/2023	17:07:07.468	5.33595217E+0	-2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
35	15/03/2023	17:07:08.947	2.40758285E+0	2.50200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
36	15/03/2023	17:07:10.457	2.90152466E+0	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
37	15/03/2023	17:07:11.908	1.24137395E+0	2.48600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
38	15/03/2023	17:07:13.392	3.13967518E+0	-2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
39	15/03/2023	17:07:14.875	3.11704896E+0	2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
40	15/03/2023	17:07:16.423	3.29652471E+0	-2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
41	15/03/2023	17:07:17.905	2.61812171E+0	2.50500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
42	15/03/2023	17:07:19.372	6.46956397E-1	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
43	15/03/2023	17:07:20.841	4.10378210E+0	2.47100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
44	15/03/2023	17:07:22.300	4.32122388E+0	-2.48600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
45	15/03/2023	17:07:23.805	6.94126307E-1	2.50600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
46	15/03/2023	17:07:25.296	5.19904439E+0	-2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
47	15/03/2023	17:07:26.845	5.09895214E+0	2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
48	15/03/2023	17:07:28.381	4.53022876E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
