#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
2	15/03/2023	17:25:43.110	0.00000000E+0	-6.28318531E+0	5.00000000E+0	3.02454012E-1	0.00000000E+0
4	15/03/2023	17:25:46.095	0.00000000E+0	-6.17849112E+0	5.00000000E+0	3.11932666E-1	0.00000000E+0
6	15/03/2023	17:25:49.056	0.00000000E+0	-6.07379693E+0	5.00000000E+0	3.36445821E-1	0.00000000E+0
8	15/03/2023	17:25:52.037	0.00000000E+0	-5.96910274E+0	5.00000000E+0	3.76094020E-1	0.00000000E+0
10	15/03/2023	17:25:54.990	0.00000000E+0	-5.86440855E+0	5.00000000E+0	4.07587728E-1	0.00000000E+0
12	15/03/2023	17:25:58.020	0.00000000E+0	-5.75971436E+0	5.00000000E+0	4.66775167E-1	0.00000000E+0
14	15/03/2023	17:26:01.023	0.00000000E+0	-5.65502017E+0	5.00000000E+0	3.94825446E-1	0.00000000E+0
16	15/03/2023	17:26:03.945	0.00000000E+0	-5.55032599E+0	5.00000000E+0	4.29663282E-1	0.00000000E+0
18	15/03/2023	17:26:06.941	0.00000000E+0	-5.44524830E+0	5.00000000E+0	3.53513373E-1	0.00000000E+0
20	15/03/2023	17:26:09.929	0.00000000E+0	-5.34055411E+0	5.00000000E+0	3.25180607E-1	0.00000000E+0
22	15/03/2023	17:26:12.882	0.00000000E+0	-5.23585992E+0	5.00000000E+0	5.47743301E-1	0.00000000E+0
24	15/03/2023	17:26:15.861	0.00000000E+0	-5.13116574E+0	5.00000000E+0	3.34087173E-1	0.00000000E+0
26	15/03/2023	17:26:18.788	0.00000000E+0	-5.02647155E+0	5.00000000E+0	3.13467268E-1	0.00000000E+0
28	15/03/2023	17:26:21.773	0.00000000E+0	-4.92177736E+0	5.00000000E+0	5.23997289E-1	0.00000000E+0
30	15/03/2023	17:26:24.762	0.00000000E+0	-4.81708317E+0	5.00000000E+0	4.27858985E-1	0.00000000E+0
32	15/03/2023	17:26:27.704	0.00000000E+0	-4.71238898E+0	5.00000000E+0	5.68469751E-1	0.00000000E+0
34	15/03/2023	17:26:30.626	0.00000000E+0	-4.60769479E+0	5.00000000E+0	6.28804031E-1	0.00000000E+0
36	15/03/2023	17:26:33.634	0.00000000E+0	-4.50300060E+0	5.00000000E+0	3.98074274E-1	0.00000000E+0
38	15/03/2023	17:26:36.629	0.00000000E+0	-4.39830641E+0	5.00000000E+0	5.63223998E-1	0.00000000E+0
40	15/03/2023	17:26:39.658	0.00000000E+0	-4.29361223E+0	5.00000000E+0	6.05538950E-1	0.00000000E+0
42	15/03/2023	17:26:42.595	0.00000000E+0	-4.18891804E+0	5.00000000E+0	5.64855873E-1	0.00000000E+0
44	15/03/2023	17:26:45.580	0.00000000E+0	-4.08422385E+0	5.00000000E+0	5.57764373E-1	0.00000000E+0
46	15/03/2023	17:26:48.516	0.00000000E+0	-3.97952966E+0	5.00000000E+0	6.22377325E-1	0.00000000E+0
48	15/03/2023	17:26:51.498	0.00000000E+0	-3.87445198E+0	5.00000000E+0	5.51052778E-1	0.00000000E+0
50	15/03/2023	17:26:54.413	0.00000000E+0	-3.76975779E+0	5.00000000E+0	6.29754725E-1	0.00000000E+0
52	15/03/2023	17:26:57.450	0.00000000E+0	-3.66506360E+0	5.00000000E+0	6.68593849E-1	0.00000000E+0
54	15/03/2023	17:27:00.413	0.00000000E+0	-3.56036941E+0	5.00000000E+0	5.08126548E-1	0.00000000E+0
56	15/03/2023	17:27:03.433	0.00000000E+0	-3.45567522E+0	5.00000000E+0	5.97889366E-1	0.00000000E+0
58	15/03/2023	17:27:06.365	0.00000000E+0	-3.35098103E+0	5.00000000E+0	6.56525393E-1	0.00000000E+0
