#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	15/03/2023	17:36:00.023	0.00000000E+0	-6.28318531E+0	4.00000000E+0	4.90797153E+0	2.51800000E+3	3.11207108E-1
3	15/03/2023	17:36:03.046	0.00000000E+0	-6.17849112E+0	4.00000000E+0	2.62924307E+0	2.51800000E+3	3.13632638E-1
5	15/03/2023	17:36:05.998	0.00000000E+0	-6.07379693E+0	4.00000000E+0	8.52126328E-1	2.50500000E+3	5.38763697E-1
7	15/03/2023	17:36:08.955	0.00000000E+0	-5.96910274E+0	4.00000000E+0	2.45053431E+0	2.50900000E+3	6.32596455E-1
9	15/03/2023	17:36:11.971	0.00000000E+0	-5.86440855E+0	4.00000000E+0	1.10830112E+0	2.52800000E+3	6.15016615E-1
11	15/03/2023	17:36:15.027	0.00000000E+0	-5.75971436E+0	4.00000000E+0	1.08605840E+0	2.51500000E+3	4.60766393E-1
13	15/03/2023	17:36:18.049	0.00000000E+0	-5.65502017E+0	4.00000000E+0	4.45122875E+0	2.50000000E+3	3.61013995E-1
15	15/03/2023	17:36:21.012	0.00000000E+0	-5.55032599E+0	4.00000000E+0	1.13514578E+0	2.50700000E+3	4.26575734E-1
17	15/03/2023	17:36:24.023	0.00000000E+0	-5.44524830E+0	4.00000000E+0	1.98918959E+0	2.52300000E+3	5.40889378E-1
19	15/03/2023	17:36:26.989	0.00000000E+0	-5.34055411E+0	4.00000000E+0	5.24391332E+0	2.50500000E+3	3.20487747E-1
21	15/03/2023	17:36:29.987	0.00000000E+0	-5.23585992E+0	4.00000000E+0	5.34745703E+0	2.51000000E+3	4.95196012E-1
23	15/03/2023	17:36:32.943	0.00000000E+0	-5.13116574E+0	4.00000000E+0	5.05216572E+0	2.51200000E+3	4.97246771E-1
25	15/03/2023	17:36:35.937	0.00000000E+0	-5.02647155E+0	4.00000000E+0	3.17572373E+0	2.50500000E+3	3.42934454E-1
27	15/03/2023	17:36:38.964	0.00000000E+0	-4.92177736E+0	4.00000000E+0	4.19006852E+0	2.51200000E+3	5.40814161E-1
29	15/03/2023	17:36:41.953	0.00000000E+0	-4.81708317E+0	4.00000000E+0	1.13552928E+0	2.50400000E+3	3.84141154E-1
31	15/03/2023	17:36:44.931	0.00000000E+0	-4.71238898E+0	4.00000000E+0	2.17595175E+0	2.51900000E+3	3.46162868E-1
33	15/03/2023	17:36:47.872	0.00000000E+0	-4.60769479E+0	4.00000000E+0	3.45490823E+0	2.50700000E+3	4.22310830E-1
35	15/03/2023	17:36:50.902	0.00000000E+0	-4.50300060E+0	4.00000000E+0	7.47432139E-1	2.51300000E+3	4.38623707E-1
37	15/03/2023	17:36:53.803	0.00000000E+0	-4.39830641E+0	4.00000000E+0	2.26415564E+0	2.50800000E+3	3.43876829E-1
39	15/03/2023	17:36:56.807	0.00000000E+0	-4.29361223E+0	4.00000000E+0	3.21982567E+0	2.50800000E+3	3.96572722E-1
41	15/03/2023	17:36:59.787	0.00000000E+0	-4.18891804E+0	4.00000000E+0	4.43742292E+0	2.49900000E+3	5.71818036E-1
43	15/03/2023	17:37:02.784	0.00000000E+0	-4.08422385E+0	4.00000000E+0	2.30442264E+0	2.49300000E+3	3.70755024E-1
45	15/03/2023	17:37:05.826	0.00000000E+0	-3.97952966E+0	4.00000000E+0	2.72588386E+0	2.48600000E+3	4.39089680E-1
47	15/03/2023	17:37:08.763	0.00000000E+0	-3.87445198E+0	4.00000000E+0	5.94724351E+0	2.47600000E+3	3.42658738E-1
49	15/03/2023	17:37:11.719	0.00000000E+0	-3.76975779E+0	4.00000000E+0	5.53536967E+0	2.38700000E+3	4.12775385E-1
51	15/03/2023	17:37:14.719	0.00000000E+0	-3.66506360E+0	4.00000000E+0	3.25203927E+0	2.51600000E+3	6.13507550E-1
53	15/03/2023	17:37:17.708	0.00000000E+0	-3.56036941E+0	4.00000000E+0	3.23478199E+0	2.44300000E+3	6.34928337E-1
55	15/03/2023	17:37:20.714	0.00000000E+0	-3.45567522E+0	4.00000000E+0	4.33464621E+0	2.49900000E+3	4.35317536E-1
57	15/03/2023	17:37:23.647	0.00000000E+0	-3.35098103E+0	4.00000000E+0	9.47616632E-1	2.48800000E+3	6.04162690E-1
59	15/03/2023	17:37:26.632	0.00000000E+0	-3.24628684E+0	4.00000000E+0	1.19918948E+0	2.47800000E+3	3.58142066E-1
61	15/03/2023	17:37:29.605	0.00000000E+0	-3.14159265E+0	4.00000000E+0	4.24759280E+0	2.47000000E+3	6.76861538E-1
63	15/03/2023	17:37:32.617	0.00000000E+0	-3.03689846E+0	4.00000000E+0	6.03736489E+0	2.46700000E+3	6.10289162E-1
65	15/03/2023	17:37:35.603	0.00000000E+0	-2.93220428E+0	4.00000000E+0	4.05661219E+0	2.46600000E+3	6.67498144E-1
67	15/03/2023	17:37:38.623	0.00000000E+0	-2.82751009E+0	4.00000000E+0	5.93305419E+0	2.48600000E+3	6.03993318E-1
